Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
"Liberty Hill, TX",30.6649119,-97.9225161,39.67,0.25,30.2,33.7,41.2,49.7,60.1,67.6,71.1,70.7,63.3,52.2,41.3,32.0,57.0,60.3,68.4,77.6,84.7,90.7,94.2,94.3,87.7,78.3,67.2,57.4
"Mascotte, FL",28.5783313,-81.8867452,52.7,0.0,47.5,49.8,54.2,58.9,65.2,71.1,72.6,72.9,71.7,65.6,57.6,50.5,70.8,73.1,77.5,83.0,88.6,91.3,92.3,91.8,89.5,84.4,78.1,72.4
"College Station, TX",30.5955289,-96.3071042,41.68,0.0,41.2,44.4,51.0,58.1,66.6,72.7,74.6,74.5,69.4,60.3,50.5,42.2,61.0,64.8,71.7,78.9,85.8,91.7,94.8,96.2,90.5,81.4,71.0,62.3
"Tucson, AZ",32.2228765,-110.9748477,12.01,0,41.6,44.2,48.4,54.7,63.5,71.7,75.7,74.6,70.5,59.2,48.0,40.8,64.9,68.2,73.9,81.5,90.8,99.1,98.9,96.9,94.1,84.2,73.0,64.4
"San Angelo, TX",31.4648357,-100.4398442,20.15,0.06,30.8,34.2,42.1,50.2,60.3,67.5,70.3,69.8,62.0,52.0,41.5,31.6,59.2,63.5,70.9,79.6,87.1,92.2,95.0,95.1,88.3,79.0,68.7,59.7
"Brooklyn Park, MN",45.1004807,-93.3443585,34.18,4.45,6.7,11.5,22.6,35.7,46.9,57.2,62.0,60.1,50.4,37.9,24.9,11.7,23.8,29.1,41.6,57.8,70.0,79.1,83.4,82.5,72.0,58.8,41.5,27.3
"Topeka, KS",39.049011,-95.677556,38.95,1.36,19.6,23.8,33.3,43.5,54.2,63.7,68.4,66.2,56.3,44.7,33.0,22.3,39.9,45.0,56.4,66.7,75.9,84.7,89.5,88.6,80.4,68.4,54.6,41.7
"Springdale, AR",36.1867442,-94.1288142,47.09,0.4,26.3,29.7,37.8,46.9,55.8,64.6,69.2,67.8,59.2,47.4,38.2,28.8,46.4,51.0,59.2,68.8,75.9,83.6,88.8,89.2,81.2,70.4,59.0,48.4
"Kingston, GA",34.2367172,-84.9450325,50.94,0.1,29.6,33.2,38.8,46.5,55.7,64.2,67.8,67.5,61.5,48.8,39.6,32.3,53.2,58.6,67.3,74.9,81.7,88.6,91.5,91.1,85.2,75.5,65.9,55.5
"Valdosta, GA",30.8327022,-83.2784851,52.53,0.01,38.8,41.5,47.5,52.8,61.3,68.8,71.1,71.0,67.6,56.7,48.5,40.9,61.9,65.8,71.7,78.2,85.8,89.8,91.4,90.9,87.4,79.8,72.3,63.9
"Grove, OK",36.5936863,-94.7691186,46.46,1.38,26.1,29.2,37.9,46.2,55.3,63.6,68.2,66.8,58.6,47.8,38.7,28.8,47.0,52.4,61.0,70.8,78.8,86.3,91.6,92.7,84.0,71.9,60.1,49.5
"Lincoln, NE",40.8088861,-96.7077751,28.95,2.21,13.7,18.2,27.8,38.7,50.2,61.1,66.9,63.7,53.5,40.7,28.2,17.1,35.1,39.6,51.5,63.6,73.6,83.7,88.6,85.9,78.2,66.1,50.8,37.1
"Woodland, CA",38.6786109,-121.7733285,21.34,0.0,39.5,42.5,45.8,48.5,54.0,58.6,60.2,59.3,57.6,52.2,44.5,39.4,54.3,60.7,66.9,73.7,81.9,89.7,95.2,94.2,89.4,79.0,64.3,54.6
"Kihei, HI",20.7476261,-156.4549898,73.0,0.0,43.4,42.3,42.9,43.2,45.1,47.5,48.5,48.8,47.4,47.2,47.0,44.4,60.6,59.6,59.9,60.4,62.7,65.3,65.6,66.2,64.5,64.0,63.3,61.3
"Chino Hills, CA",33.9926803,-117.760056,18.79,0.0,43.2,44.9,46.6,49.3,54.1,57.4,61.7,61.7,60.3,54.5,47.1,42.3,68.1,68.5,70.9,75.7,78.8,83.5,90.1,91.5,88.7,80.4,73.6,67.4
"Fitzgerald, GA",31.7149082,-83.2526545,44.62,0.01,37.4,40.2,46.0,52.8,61.6,69.2,72.1,71.5,65.8,55.7,46.1,39.2,58.7,63.0,69.7,76.8,84.3,89.5,92.1,90.9,86.1,78.1,69.2,60.9
"Lake Alfred, FL",28.091963,-81.7234114,52.31,0.0,50.4,53.0,57.3,61.7,66.8,72.7,73.8,74.5,72.9,66.7,59.3,53.2,71.2,74.1,78.4,82.7,88.7,91.3,92.0,91.8,90.0,84.8,78.7,72.9
"Reynoldsburg, OH",39.9547861,-82.8121191,40.11,1.6,22.6,25.0,32.7,42.6,52.2,61.5,65.5,64.1,56.5,45.0,36.1,26.8,36.5,40.6,51.1,63.5,72.9,81.6,84.9,83.7,77.0,65.1,52.6,40.1
"Folsom, CA",38.6779591,-121.1760583,22.33,0.09,38.5,42.1,44.6,47.3,52.5,57.5,60.8,59.7,57.9,53.1,44.6,39.1,54.9,60.7,66.0,71.9,80.9,88.5,95.3,94.3,89.4,78.7,64.0,55.4
"Robbinsdale, MN",45.0313156,-93.3395843,34.18,3.78,6.7,11.5,22.6,35.7,46.9,57.2,62.0,60.1,50.4,37.9,24.9,11.7,23.8,29.1,41.6,57.8,70.0,79.1,83.4,82.5,72.0,58.8,41.5,27.3
"Carroll, IA",42.0193628,-94.860335,34.66,2.66,9.8,13.9,24.2,35.7,48.5,58.6,63.1,60.7,50.5,38.4,25.5,13.3,28.5,33.3,46.0,60.3,71.6,81.0,84.4,82.3,75.4,62.3,45.6,31.1
"Alpharetta, GA",34.0709576,-84.2747329,51.39,0.06,28.5,31.7,37.7,46.1,54.8,64.1,67.5,67.2,60.2,47.8,38.2,31.3,49.0,53.7,61.6,70.1,77.0,83.8,86.7,86.0,80.2,70.7,61.2,51.2
"Statesville, NC",35.7826363,-80.8872959,45.28,0.38,23.4,25.7,32.2,40.5,51.1,60.2,64.4,63.3,55.6,43.4,33.0,25.8,48.0,52.2,60.4,69.6,77.3,84.3,87.2,85.5,79.1,70.2,60.1,50.0
"Baltimore, MD",39.284749399999995,-76.62047463969989,43.37,0.8,31.8,34.1,40.1,50.8,60.9,70.7,75.0,73.1,65.3,54.1,43.6,34.8,46.4,49.1,58.6,69.4,79.4,88.8,92.1,89.9,82.5,71.4,60.5,49.7
"Bloomfield, CT",41.826488,-72.7300945,50.82,5.94,15.3,17.5,25.6,36.1,46.0,55.7,60.6,59.2,51.1,39.3,31.3,21.9,35.5,38.7,46.8,59.2,69.9,78.3,83.0,81.2,74.1,62.6,52.0,40.6
"Waterbury, CT",41.5538091,-73.0438362,52.31,0.0,12.0,14.6,22.3,31.5,41.6,51.6,56.1,55.0,47.2,35.5,28.1,19.0,34.8,38.0,46.8,59.5,70.5,78.4,83.6,81.3,74.5,62.5,51.4,39.2
"Lehi, UT",40.3880902,-111.8491619,18.14,6.98,16.9,19.0,27.7,33.8,41.4,48.3,56.1,54.8,44.5,33.6,24.9,17.6,37.2,42.7,50.6,62.1,70.7,83.1,91.0,88.7,78.5,65.1,48.5,39.1
"Cache, OK",34.6295165,-98.6286741,32.85,0.19,28.2,32.0,40.5,48.9,59.1,67.4,71.9,70.6,62.0,50.7,39.8,29.5,50.8,54.5,63.4,72.6,80.3,88.2,94.1,93.9,85.2,74.2,62.0,50.9
"Beckley, WV",37.7781702,-81.1881557,47.33,0.76,19.1,20.9,27.0,36.2,45.5,54.7,58.5,57.2,50.0,38.7,29.7,22.4,38.1,42.0,50.5,61.8,69.5,75.2,77.7,77.1,71.0,61.8,52.3,41.1
"Mchenry, IL",42.3294391,-88.4605713,36.62,3.55,11.9,16.1,26.1,37.0,47.0,56.3,61.1,59.7,51.2,38.6,29.6,17.1,28.3,33.0,44.2,57.3,68.4,78.2,81.7,80.4,73.3,60.8,46.4,32.2
"Greensboro, NC",36.0726355,-79.7919754,46.1,0.18,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68.0,60.6,48.8,39.6,32.0,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7
"Cary, NC",35.7883046,-78.7811964,48.76,1.61,30.0,31.9,38.5,47.4,55.7,65.1,69.0,67.7,61.0,49.5,40.4,33.0,49.9,53.6,61.7,71.3,78.3,84.9,88.6,87.3,80.9,71.5,62.8,52.8
"Denver, NC",35.5312452,-81.0297994,48.59,0.02,29.8,32.0,38.8,46.6,56.1,65.3,69.1,67.9,60.6,48.7,39.4,32.1,50.5,54.6,62.4,71.2,78.5,85.7,88.6,87.3,81.2,72.4,62.7,53.1
"Pacific, MO",38.481809,-90.7415865,42.83,1.51,20.8,23.5,32.1,42.6,52.1,61.2,66.1,64.4,55.3,43.8,34.7,24.3,40.8,46.1,56.6,67.6,75.7,84.1,88.1,87.3,80.1,69.2,56.4,43.2
"Pearland, TX",29.5639758,-95.2864299,54.65,0.0,44.1,47.9,53.2,60.0,67.7,73.5,74.4,74.3,69.9,61.8,52.7,45.5,62.5,65.8,71.8,78.1,84.5,89.7,91.5,92.3,88.0,81.1,72.3,64.3
"Magnolia, TX",30.2093794,-95.7507815,41.75,0.0,40.4,43.7,50.2,57.6,65.5,71.0,72.8,72.9,67.7,59.0,49.9,41.2,61.0,64.4,72.1,78.4,85.4,90.7,93.5,94.2,88.7,80.6,71.2,62.0
"Lufkin, TX",31.3386242,-94.7288558,48.47,0.01,34.6,37.7,44.3,51.8,61.1,67.8,70.2,69.3,63.2,52.3,43.9,35.7,58.1,63.0,69.1,76.8,83.2,88.4,92.1,93.3,87.7,78.7,68.6,59.9
"Putnam, OK",35.8554275,-98.96714418719853,26.41,0.72,22.3,25.7,33.7,43.4,54.9,64.6,68.7,67.7,58.5,45.5,33.0,23.6,48.7,52.9,60.9,70.6,79.8,88.4,94.3,93.5,84.6,72.7,60.4,48.5
"Mandeville, LA",30.3582305,-90.0657477,68.9,0.01,38.9,41.7,47.1,54.1,62.9,69.5,71.8,71.7,67.2,56.8,47.4,41.3,59.5,62.9,68.8,75.1,81.6,86.2,88.4,88.3,85.1,77.9,69.6,61.8
"Peachtree City, GA",33.3967829,-84.5957629,49.99,0.16,12.0,13.1,21.8,33.3,43.6,55.0,57.6,55.5,48.5,38.8,27.8,19.7,29.0,32.2,41.8,55.6,67.7,77.8,81.9,79.6,72.7,59.8,46.4,33.7
"Silver Spring, MD",38.9959461,-77.0276231,41.84,0.8,26.2,28.5,35.0,44.5,54.2,64.1,69.4,66.9,59.6,47.0,38.0,30.2,43.4,47.4,55.5,67.0,76.4,84.8,88.7,87.4,80.4,69.1,58.7,46.9
"Lansdale, PA",40.2414952,-75.2837862,47.92,1.16,21.3,24.1,31.1,40.3,49.6,60.0,63.8,61.6,52.8,40.5,33.5,24.9,37.2,39.9,48.2,59.8,69.6,79.0,83.5,81.9,75.0,63.8,53.3,42.1
"Waimea, HI",20.020452,-155.66391,29.64,0.0,56.2,56.3,57.8,58.2,59.2,61.0,62.0,62.6,62.0,61.3,60.5,58.2,73.6,72.3,72.8,72.3,75.7,76.8,77.2,77.5,77.9,76.9,74.9,73.9
"Prospect, KY",38.3459615,-85.60460479093771,50.0,0.81,26.5,29.7,37.4,47.0,56.2,65.5,68.5,68.0,59.2,47.7,38.5,29.4,42.5,46.6,56.6,67.1,76.3,84.6,87.2,87.1,80.0,68.7,56.4,45.1
"Plymouth, IN",41.3436555,-86.3097278,41.56,2.73,15.4,17.6,26.8,37.8,48.4,58.2,62.4,60.4,52.7,40.9,31.4,20.6,31.0,35.2,46.8,59.5,70.3,79.9,83.4,81.6,75.1,62.7,48.6,35.1
"Jamaica, NY",40.6914852,-73.8056771,44.73,2.55,26.3,28.1,34.2,43.5,52.8,62.8,68.5,67.8,60.8,49.6,40.7,31.5,39.1,41.8,49.0,59.0,68.5,78.0,83.2,81.9,75.3,64.5,54.3,44.0
"Darby, PA",39.9184461,-75.2590721,48.51,0.75,25.6,27.7,34.4,44.1,54.0,63.8,69.2,67.9,60.3,48.4,39.2,30.1,40.3,43.8,52.7,63.9,73.8,82.7,87.1,85.3,78.0,66.6,56.0,44.8
"Auburn Hills, MI",42.6875323,-83.2341028,31.82,3.14,15.1,16.3,23.4,34.4,47.1,56.8,61.4,58.9,52.0,39.8,30.6,21.1,29.8,32.7,43.7,56.8,68.0,77.4,82.0,79.7,73.0,59.4,46.7,34.0
"Saint George, UT",37.104153,-113.5841313,13.19,0,31.0,35.3,41.6,48.7,58.7,67.3,74.5,72.8,63.2,49.7,38.0,30.6,53.7,58.8,67.3,75.2,85.8,95.7,101.4,99.1,91.7,77.7,62.9,51.9
"Bowie, MD",38.9429659,-76.731234,43.73,1.52,22.4,24.3,31.8,41.0,51.0,60.9,65.7,64.3,56.3,43.8,34.3,26.9,42.4,46.2,54.6,65.4,74.2,82.9,87.4,85.6,78.7,67.7,56.9,46.4
"South Brunswick, NJ",40.3849235,-74.52047462565923,50.04,4.53,18.9,20.6,27.7,37.2,46.9,56.5,61.5,60.1,52.3,40.5,32.3,23.9,37.2,40.8,49.4,61.4,71.7,80.1,84.6,83.1,76.3,65.1,53.6,41.6
"Hingham, MA",42.2417669,-70.8897676,52.23,5.54,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9
"Rocklin, CA",38.7907339,-121.2357828,37.15,0,38.5,42.1,44.6,47.3,52.5,57.5,60.8,59.7,57.9,53.1,44.6,39.1,54.9,60.7,66.0,71.9,80.9,88.5,95.3,94.3,89.4,78.7,64.0,55.4
"Lachine, PQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raleigh, NC",35.7803977,-78.6390989,46.22,0.23,30.0,32.2,39.2,47.7,56.5,65.5,69.3,68.1,61.3,49.5,41.1,32.9,50.9,55.0,62.9,72.4,79.9,87.2,90.1,88.5,82.3,72.5,63.4,53.8
"Lithonia, GA",33.7123305,-84.1051939,48.42,0.04,33.1,36.3,42.1,49.5,58.7,66.7,70.2,69.7,63.1,51.1,42.2,35.0,51.4,56.0,64.6,73.6,80.0,86.8,89.4,88.3,82.7,72.8,63.1,53.7
"Newton, NC",35.6630887,-81.2219363,49.47,0.23,20.4,23.4,29.9,38.8,47.0,55.0,58.7,57.5,51.3,41.2,32.8,24.8,37.9,42.0,49.4,59.0,66.1,73.1,76.3,74.4,69.2,59.7,50.9,41.5
"Blythewood, SC",34.2187005,-80.98456918011235,43.82,0.1,26.3,28.0,35.6,42.0,51.5,62.4,66.1,65.9,57.5,45.2,35.2,28.5,55.2,59.2,67.4,75.7,82.2,89.6,92.7,90.6,85.0,75.6,66.7,57.2
"Milford, DE",38.9130453,-75.4278733,45.2,1.32,24.7,26.1,33.5,42.7,52.0,62.5,66.8,65.1,57.3,46.2,37.3,28.9,43.2,45.2,54.1,63.8,73.4,82.4,86.5,84.5,78.3,68.3,58.0,47.1
"Bay Springs, MS",31.9790425,-89.2872843,53.14,0.04,33.0,36.0,42.1,49.0,58.0,64.8,68.5,68.1,62.3,50.9,41.8,35.0,59.6,63.7,71.8,79.1,85.5,90.5,92.7,92.1,87.4,79.4,70.6,62.0
"Hampton, GA",33.3870578,-84.2829784,48.54,0.08,-0.1,0.8,8.9,22.9,35.1,45.1,48.3,46.8,39.4,30.0,19.9,7.2,21.2,26.2,36.7,50.5,64.5,74.0,78.0,76.4,68.0,53.4,38.0,25.9
"Orlando, FL",28.5421109,-81.3790304,53.17,0.0,49.8,53.4,57.2,61.7,67.8,73.2,75.5,75.6,74.1,67.7,59.8,53.8,70.7,73.1,77.4,82.1,87.9,90.7,91.8,91.6,89.2,84.1,77.9,72.2
"Smyrna, DE",39.2998339,-75.6046494,45.79,0.0,27.1,29.0,35.6,44.3,53.8,63.4,68.4,67.0,60.1,48.7,39.8,31.0,43.4,47.0,54.9,65.7,74.7,83.2,87.0,85.2,79.3,68.8,58.5,47.4
"Jonesboro, GA",33.5215013,-84.3538128,48.54,0.04,31.8,35.1,42.0,48.8,57.8,66.3,70.3,69.5,62.9,51.2,42.6,33.9,51.8,55.7,63.6,71.9,80.1,86.9,89.6,88.7,82.3,72.3,62.6,53.4
"Hinesville, GA",31.8477298,-81.5960354,47.86,0.01,40.3,42.9,48.5,54.5,62.5,69.7,72.5,72.4,68.1,58.4,49.6,42.5,63.0,67.0,73.2,79.4,86.0,90.4,92.4,90.7,87.0,79.8,72.4,64.8
"Morton, MS",32.3537557,-89.6545171,58.94,0.03,35.3,37.9,44.6,51.5,60.1,66.8,69.8,69.3,63.0,51.3,43.5,36.4,58.9,63.3,70.8,77.9,84.4,89.5,92.5,92.3,88.1,79.6,70.0,60.6
"Norcross, GA",33.9412127,-84.2135309,51.39,0.06,28.5,31.7,37.7,46.1,54.8,64.1,67.5,67.2,60.2,47.8,38.2,31.3,49.0,53.7,61.6,70.1,77.0,83.8,86.7,86.0,80.2,70.7,61.2,51.2
"Tallahassee, FL",30.4380832,-84.2809332,58.06,0,39.0,41.9,47.1,52.3,61.6,69.5,72.0,72.1,68.1,57.3,47.5,41.1,63.5,67.5,73.8,79.9,87.0,91.0,92.1,91.5,88.4,81.4,73.0,65.3
"Dublin, OH",40.0992294,-83.1140771,38.98,1.94,20.8,22.9,30.9,40.7,49.9,59.7,63.8,62.0,53.7,42.9,34.2,24.8,36.0,39.6,50.0,63.2,72.5,80.7,84.3,83.0,76.7,64.4,51.8,39.3
"Maddington, ",33.6339917,-78.9913907,53.88,0.23,39.2,42.1,48.0,54.5,63.0,71.2,74.6,73.9,68.2,58.6,49.5,41.4,57.3,60.7,67.7,75.0,82.0,87.5,90.5,88.7,84.0,76.7,68.5,59.7
"College Park, GA",33.6534427,-84.4493725,51.17,0.11,34.3,37.7,44.1,51.5,60.3,68.2,71.3,70.7,64.8,54.0,44.5,36.5,52.3,56.6,64.6,72.5,79.9,86.4,89.1,88.1,82.2,72.7,63.6,54.0
"Jeffersonville, IN",38.2770227,-85.7371604,44.61,0.81,21.9,26.0,32.8,42.1,52.1,61.1,64.9,62.9,54.9,43.7,34.5,25.9,39.7,44.7,55.2,67.3,76.6,84.7,87.5,87.1,79.7,67.5,55.0,42.7
"Acworth, GA",34.0659329,-84.6768796,51.39,0.06,29.6,32.6,39.1,46.4,55.2,63.7,67.5,66.9,59.8,48.2,39.3,32.1,51.5,55.8,64.2,72.6,79.8,86.6,89.5,88.8,83.1,73.4,63.7,53.5
"Johns Creek, GA",34.0181557,-84.190196,51.39,0.06,28.5,31.7,37.7,46.1,54.8,64.1,67.5,67.2,60.2,47.8,38.2,31.3,49.0,53.7,61.6,70.1,77.0,83.8,86.7,86.0,80.2,70.7,61.2,51.2
"Bartow, FL",27.885186599999997,-81.81408775862916,52.08,0.0,50.5,53.1,56.8,61.1,67.4,72.4,73.6,73.8,72.7,66.7,59.0,53.1,73.1,75.9,79.5,83.9,88.9,91.4,92.1,92.1,90.0,85.3,79.4,74.3
"Saint Augustine, FL",29.8946952,-81.3145395,49.01,0.0,46.1,48.5,53.1,58.6,65.8,71.1,72.8,73.0,71.8,65.2,56.5,49.2,66.8,69.5,73.7,79.2,84.5,88.6,90.9,89.9,87.0,81.5,74.8,68.7
"Lawrence, KS",38.9719384,-95.2359496,37.78,1.71,18.3,22.0,31.5,42.6,54.1,63.5,68.4,66.2,56.9,45.4,32.7,21.5,38.5,44.3,54.8,64.6,74.4,83.4,88.6,87.8,79.0,67.5,53.8,40.6
"Needham, MA",42.283431,-71.2328329,49.69,5.54,15.8,18.7,25.4,35.1,45.6,55.3,60.6,58.8,50.4,38.5,30.7,21.4,34.6,38.2,46.3,57.9,67.9,76.8,82.0,80.6,72.7,61.4,51.2,39.7
"Fulton, MS",34.2739933,-88.4092133,54.59,0.17,29.5,32.5,39.9,48.5,57.6,65.3,68.8,67.7,60.6,48.9,39.9,32.5,50.7,55.3,64.6,73.0,80.0,86.6,89.8,90.3,84.2,73.8,63.3,52.6
"Columbus, MS",33.4956744,-88.4272627,53.49,0.0,33.2,36.6,43.4,50.2,59.4,66.7,70.4,69.6,62.9,51.2,41.6,35.1,54.4,59.6,68.3,76.4,83.6,89.8,93.0,92.7,86.9,76.8,66.5,56.8
"Columbia, MS",31.2518439,-89.83758,58.82,0.02,36.4,40.1,46.5,53.4,62.4,69.1,71.5,71.3,65.7,54.4,45.2,38.5,59.6,63.3,70.9,77.6,84.8,90.2,92.2,92.1,88.1,79.5,70.1,61.4
"Soperton, GA",32.3771182,-82.5923554,51.17,0.01,36.8,40.2,45.6,51.3,59.9,67.4,70.6,70.2,65.7,54.9,45.4,38.8,60.0,64.4,71.8,78.5,85.3,91.0,92.7,91.5,86.5,78.2,70.6,61.9
"Brunswick, GA",31.1499528,-81.4914894,53.49,0,42.0,45.5,51.4,56.7,65.0,71.5,74.0,73.8,70.3,61.2,52.4,44.7,62.5,66.0,71.6,78.0,84.8,89.8,92.3,90.7,86.1,79.2,72.1,64.4
"Louisville, KY",38.2542376,-85.759407,43.26,1.24,26.5,29.7,37.4,47.0,56.2,65.5,68.5,68.0,59.2,47.7,38.5,29.4,42.5,46.6,56.6,67.1,76.3,84.6,87.2,87.1,80.0,68.7,56.4,45.1
"Stone Mountain, GA",33.8062166,-84.1457505,52.97,0.04,4.9,7.0,16.4,27.6,39.1,48.7,53.7,52.4,44.6,33.2,23.4,10.5,23.1,27.6,38.5,53.5,66.3,75.3,79.3,77.3,68.0,54.8,39.3,27.2
"Eden Prairie, MN",44.8546856,-93.470786,31.16,3.78,7.2,11.4,23.9,37.1,48.9,59.2,63.8,61.3,52.2,39.3,26.5,12.0,23.6,29.1,40.6,57.4,69.7,78.7,83.1,80.6,71.5,58.5,41.3,27.1
"Mize, MS",31.8684927,-89.5559024,58.55,0.0,34.6,38.2,45.0,52.6,61.3,68.3,71.1,70.6,64.7,53.3,44.8,37.1,57.8,62.0,69.1,75.7,82.3,88.0,90.3,90.2,85.5,76.7,68.3,59.6
"Raymond, MS",32.2593146,-90.4225951,60.49,0.03,33.2,36.3,43.5,50.7,60.3,67.4,70.3,68.9,62.1,50.8,41.7,36.0,58.0,62.3,70.1,77.3,84.6,90.7,93.6,93.5,88.9,79.9,69.7,60.4
"West Point, MS",33.6076186,-88.6503255,54.07,0.04,30.8,34.2,41.3,49.7,59.3,67.1,70.7,69.2,61.7,49.6,41.2,33.5,53.4,58.1,66.3,74.4,82.0,88.6,91.5,91.4,85.8,76.0,65.8,56.0
"Laval, PQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoover, AL",33.3848933,-86.8070484,55.03,0.08,32.1,35.3,42.8,49.2,58.7,66.5,69.8,69.3,62.9,50.0,42.3,34.2,54.0,58.6,66.9,74.3,81.0,86.8,89.9,89.1,84.2,73.3,66.0,55.3
"Falkner, MS",34.8420376,-88.934228,57.07,0.16,27.5,30.6,38.4,46.6,56.4,64.5,68.3,67.0,59.4,47.3,38.1,30.2,48.1,52.8,61.9,71.5,79.3,86.3,89.6,89.6,83.1,72.0,61.4,50.4
"Marietta, GA",33.9528472,-84.5496148,51.52,0.06,30.0,33.2,38.8,46.9,56.4,64.8,67.9,67.5,61.1,49.5,40.2,32.6,52.9,57.0,65.1,71.7,76.4,82.1,84.6,84.5,79.3,71.0,64.9,54.7
"Moore, OK",35.3395135,-97.4867045,37.61,0.45,28.8,32.8,41.0,49.7,59.6,67.8,72.2,71.3,63.2,51.6,40.0,30.6,49.7,54.6,63.4,72.3,80.2,88.1,93.9,93.4,84.7,73.4,61.5,50.6
"Atlanta, GA",33.7490987,-84.3901849,51.17,0.04,7.0,5.3,13.4,27.4,38.3,48.1,52.4,50.4,43.1,33.4,25.6,15.6,27.5,30.1,40.1,53.9,67.3,76.3,80.3,78.3,70.5,57.0,43.5,31.6
"Chantilly, VA",38.8941543,-77.4311513,42.93,1.52,23.9,26.0,32.9,42.1,51.2,61.0,65.5,64.2,56.3,43.8,35.3,27.1,42.5,46.4,55.5,66.7,75.1,83.8,87.9,86.6,79.4,68.2,57.5,46.0
"Millbrook, AL",32.4798575,-86.3619163,54.31,0.01,31.6,34.6,41.2,47.9,57.4,65.6,69.5,68.4,62.0,50.0,41.1,33.9,55.2,59.3,67.6,74.8,81.7,87.7,90.7,89.9,84.8,76.0,66.8,57.3
"Irmo, SC",34.08846885,-81.18021121302588,45.47,0.1,33.7,36.8,43.0,50.4,59.5,68.2,71.6,71.0,64.2,52.1,42.3,35.3,56.0,60.3,68.2,76.3,83.8,90.0,92.7,90.7,85.2,76.1,67.3,58.2
"Vidalia, GA",32.2176855,-82.4134614,48.55,0.01,34.9,37.8,44.3,50.8,59.0,67.7,70.6,69.9,64.6,53.9,44.5,36.5,60.0,63.4,71.5,78.5,85.2,90.7,92.8,91.1,86.6,78.5,71.8,61.8
"Aliceville, AL",33.1295681,-88.1514166,56.17,0.04,31.2,34.0,41.5,48.6,57.4,66.0,69.6,68.7,62.1,49.9,41.0,33.4,55.7,60.4,69.1,76.7,83.6,90.2,92.3,92.3,87.4,77.6,67.6,58.3
"Montgomery, AL",32.3669656,-86.3006485,47.57,0.02,35.1,38.9,44.7,50.9,59.5,67.4,70.1,70.0,64.0,51.9,43.4,36.6,57.5,62.1,69.6,76.6,84.2,89.1,91.8,91.3,86.0,77.6,69.0,60.1
"Laurel, MS",31.739966000000003,-89.13265868703502,58.55,0.02,34.9,38.6,45.0,52.3,60.8,67.9,70.7,70.4,64.4,52.8,43.8,37.1,58.0,62.2,69.9,77.1,83.9,89.3,91.6,91.1,86.6,77.9,68.8,60.1
"Benoit, MS",33.6515013,-91.0095508,52.55,0.19,32.8,36.3,44.1,52.2,62.1,68.9,72.0,70.8,63.0,52.3,42.9,35.7,51.8,56.8,65.3,74.3,82.3,89.1,92.0,92.1,86.7,76.8,64.7,54.3
"Oak Ridge, NC",36.1736211,-79.9892172,46.1,1.07,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68.0,60.6,48.8,39.6,32.0,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7
"Hyattsville, MD",38.9529442,-76.9408647,41.84,0.8,26.2,28.5,35.0,44.5,54.2,64.1,69.4,66.9,59.6,47.0,38.0,30.2,43.4,47.4,55.5,67.0,76.4,84.8,88.7,87.4,80.4,69.1,58.7,46.9
"Marianna, AR",34.7737082,-90.7576112,49.9,0.05,31.0,34.9,42.9,51.6,61.3,69.2,71.9,70.2,62.6,51.6,42.8,33.9,48.2,53.2,62.2,72.0,80.8,88.5,91.2,91.0,84.9,74.3,62.1,51.0
"Dallas, TX",32.7762719,-96.7968559,40.55,0.1,37.3,41.1,48.5,56.2,65.4,72.8,76.7,76.8,69.0,58.2,47.6,38.5,56.8,60.8,68.7,76.7,84.2,91.6,96.0,96.4,88.7,78.5,67.1,57.5
"Southlake, TX",32.9412363,-97.1341783,37.8,0.13,33.7,37.5,45.4,53.1,62.7,70.3,73.9,73.7,66.0,54.6,44.8,35.3,54.9,59.0,66.3,74.7,82.0,89.5,94.3,95.1,87.5,77.5,65.8,56.1
"Lucas, TX",33.0842854,-96.5766577,41.23,0.09,34.2,38.5,45.6,54.3,63.6,70.7,73.9,73.5,66.2,55.1,45.7,36.3,55.5,59.6,66.3,75.0,82.4,89.9,94.3,95.5,88.3,78.5,67.1,56.8
"Tuscaloosa, AL",33.2095614,-87.5675258,51.85,0.01,34.9,38.4,45.1,51.6,61.0,68.5,72.1,71.6,65.3,53.5,44.1,37.3,56.3,61.2,69.7,77.2,84.1,90.2,92.7,92.6,87.7,77.7,67.7,58.2
