Last Name,First Name,Team,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run
Magee,Josh,Falcons,WR,57,89,92,47,89,48,75,57,66,27,24,18,44,30,27,77,61,84,89,77,38,83,77,36,79,83,43,25,29,25,26,10,10,40,35,18,13,25,72,75,55,20,18,48,48,45,38,25,53
Lunt,Wes,Vikings,QB,54,77,85,62,67,53,22,59,89,88,15,12,13,12,30,73,10,84,88,75,38,44,41,46,30,36,13,13,13,12,12,10,10,24,31,18,13,18,12,16,26,28,10,14,68,65,62,61,71
Watt,J.J.,Texans,RE,98,78,83,97,75,88,78,67,20,19,10,10,45,45,93,87,10,85,95,98,60,32,55,49,33,35,94,45,45,45,45,96,90,93,95,88,28,51,71,70,54,87,15,62,6,6,6,6,6
Smith,Tyron,Cowboys,LT,94,75,86,92,78,95,56,55,35,32,25,21,89,94,45,74,11,85,88,92,10,21,10,10,10,10,93,90,95,94,96,10,10,40,39,10,12,12,37,48,35,20,10,15,6,6,6,6,6
Atkins,Geno,Bengals,DT,91,78,84,90,71,92,25,40,25,25,20,20,45,45,83,75,10,85,90,80,30,12,15,40,10,10,88,45,45,45,45,93,72,80,84,92,15,25,15,15,15,68,15,15,6,6,6,6,6
Hilton,T.Y.,Colts,WR,88,94,92,41,96,93,89,64,22,18,15,14,62,33,20,86,85,85,93,80,31,95,94,53,86,93,43,35,33,29,25,10,10,35,37,22,12,22,91,89,95,15,15,86,15,10,6,6,10
Paradis,Matt,Broncos,C,88,61,82,89,57,88,25,22,22,25,20,20,92,86,35,67,10,85,80,88,20,15,10,10,10,10,86,85,79,75,69,20,15,40,29,20,13,15,12,10,10,20,10,12,6,6,6,6,6
Scherff,Brandon,Redskins,RG,86,71,80,92,71,90,35,40,30,30,25,25,83,83,32,81,10,85,88,94,25,15,10,30,10,10,89,91,88,82,76,10,10,26,22,18,10,15,15,15,15,25,10,15,6,6,6,6,6
Burnett,Morgan,Packers,SS,86,86,88,74,84,86,72,65,30,35,20,15,45,45,79,91,50,85,91,84,20,55,52,25,62,65,66,45,45,45,45,55,43,69,86,86,71,79,72,67,30,85,75,20,15,10,10,15,15
Crabtree,Michael,Raiders,WR,85,87,89,73,85,90,85,76,26,29,24,26,63,40,40,91,20,85,98,95,74,79,94,80,85,87,55,61,65,45,45,10,10,40,33,30,18,14,88,89,87,12,10,86,15,10,6,6,10
Moses,Morgan,Redskins,RT,85,61,72,89,60,87,35,45,30,30,25,25,83,85,30,64,10,85,84,80,20,12,10,30,10,10,83,87,81,90,85,10,10,20,28,15,12,15,15,15,15,20,10,15,6,6,6,6,6
Williams,Leonard,Jets,LE,85,73,83,87,73,85,37,55,35,30,18,17,45,45,86,79,10,85,73,85,49,25,38,50,35,24,88,45,45,45,45,85,69,87,85,85,15,30,25,29,15,81,20,15,6,6,6,6,6
Trevathan,Danny,Bears,MLB,84,80,86,67,78,86,73,45,20,25,37,30,45,45,92,82,10,85,92,87,28,14,28,40,24,40,83,45,45,45,45,78,66,82,91,86,60,74,20,15,15,81,40,35,6,6,6,6,6
McPhee,Pernell,Bears,LOLB,84,77,82,92,79,85,42,40,12,12,10,18,45,45,83,67,10,85,91,87,10,31,10,10,14,15,85,45,45,45,45,86,77,79,86,85,52,63,15,15,15,87,20,30,6,6,6,6,6
Tretter,J.C.,Browns,C,84,69,84,89,70,85,60,65,65,52,19,18,83,86,32,78,10,85,88,85,44,25,39,52,45,35,86,75,80,76,81,24,23,22,21,10,12,12,62,64,32,12,10,55,54,48,43,28,35
Koch,Sam,Ravens,P,84,72,73,50,67,72,25,40,40,45,91,93,19,17,33,37,10,85,85,65,16,21,10,10,10,10,19,19,19,17,17,10,10,33,30,10,12,12,12,10,10,12,10,12,30,30,25,20,20
Prater,Matt,Lions,K,83,74,77,43,46,65,35,40,45,45,98,93,20,20,20,40,10,85,75,50,10,12,10,10,10,10,15,15,15,15,15,10,10,10,25,15,10,25,12,10,10,12,10,12,35,30,25,20,20
Goldman,Eddie,Bears,DT,81,64,75,88,58,81,25,40,21,24,24,18,45,45,86,74,10,85,82,84,25,11,10,10,10,10,86,45,45,45,45,85,66,84,81,81,21,28,15,15,15,85,16,15,6,6,6,6,6
Fournette,Leonard,Jaguars,HB,81,90,90,83,86,76,66,91,34,35,18,20,53,60,41,71,25,85,89,79,92,81,80,86,78,83,48,55,52,56,42,35,35,40,39,25,11,20,53,55,55,50,15,51,35,29,25,24,31
Taylor,Jamar,Browns,CB,81,92,95,67,89,76,57,57,35,30,22,25,45,45,61,87,50,85,95,90,25,75,65,44,70,75,55,45,45,45,45,43,62,35,74,76,83,83,49,44,35,74,71,30,6,6,6,6,6
Slauson,Matt,Chargers,C,80,60,78,89,56,91,28,40,24,23,26,28,80,78,42,27,10,85,84,95,10,20,10,10,10,10,84,94,91,92,88,10,10,30,35,23,11,13,15,15,15,20,10,15,6,6,6,6,6
Britt,Justin,Seahawks,C,80,66,82,87,65,88,35,40,11,11,15,12,79,82,35,77,10,85,83,84,14,11,10,10,10,10,81,89,83,75,74,10,10,25,30,28,12,13,15,15,15,20,10,15,6,6,6,6,6
Hightower,Tim,49ers,HB,80,87,90,76,86,83,64,92,30,30,74,65,25,30,20,73,55,85,82,86,84,66,83,86,82,77,45,48,47,49,47,10,10,11,50,20,15,20,60,64,73,20,20,60,35,30,20,15,15
Williams,Tyrell,Chargers,WR,80,91,93,67,94,83,84,75,34,28,24,21,64,45,42,91,54,85,87,77,53,75,81,62,75,84,53,52,49,40,40,10,10,40,42,25,20,35,82,80,82,15,25,77,26,21,27,18,29
Lee,Marqise,Jaguars,WR,80,89,91,52,92,83,87,72,42,40,30,30,58,35,25,90,81,85,95,84,47,86,85,59,80,87,54,54,55,35,40,10,10,40,30,20,13,25,87,84,82,12,18,77,37,30,23,18,30
Watson,Benjamin,Ravens,TE,80,80,82,72,74,82,83,75,20,21,18,14,66,54,42,85,6,85,84,88,72,62,76,68,78,84,66,72,69,56,62,10,10,42,62,15,15,13,82,79,79,25,25,78,15,10,6,6,10
Fleener,Coby,Saints,TE,80,87,90,75,84,79,84,74,25,24,26,20,58,68,42,89,10,85,90,75,68,69,81,62,67,76,55,45,55,50,58,20,20,40,40,15,12,15,82,79,78,20,15,75,15,10,6,6,10
McKinnon,Jerick,Vikings,HB,80,93,93,74,96,74,69,91,57,45,28,22,52,65,32,95,82,85,91,87,51,88,81,56,79,91,54,49,55,35,45,10,10,35,22,28,45,50,56,60,58,12,30,35,48,46,40,15,45
Lechler,Shane,Texans,P,80,60,62,33,51,69,28,40,57,50,88,86,22,25,18,31,10,85,94,60,10,19,10,10,10,10,22,22,22,25,25,10,10,18,14,25,10,23,15,15,15,12,10,15,30,30,25,20,20
Dawson,Phil,Cardinals,K,80,55,60,20,52,65,19,40,26,21,92,89,23,22,20,37,10,85,83,60,10,21,10,10,10,10,23,23,23,22,22,10,10,20,22,27,10,15,12,10,10,12,10,12,35,30,25,20,20
Sturgis,Caleb,Eagles,K,80,76,75,35,66,62,25,42,32,24,94,89,16,17,40,32,10,85,87,84,10,23,10,10,10,10,16,16,16,17,17,10,10,26,42,29,20,14,15,15,15,25,10,15,35,30,25,20,20
Barr,Anthony,Vikings,LOLB,79,88,90,77,89,83,67,70,35,32,30,30,50,50,83,84,10,85,89,78,67,55,70,65,66,65,84,50,50,50,50,71,59,71,85,83,52,61,45,49,35,86,35,12,6,6,6,6,6
Bryant,Desmond,Browns,DT,79,72,83,84,62,80,30,35,19,19,27,24,45,45,84,65,10,85,77,75,15,10,10,10,10,10,84,45,45,45,45,86,62,76,82,80,25,41,12,10,10,83,10,12,6,6,6,6,6
Paea,Stephen,Cowboys,DT,79,71,75,96,54,79,20,40,23,40,22,17,45,45,82,58,14,85,72,96,35,10,10,10,10,10,78,45,45,45,45,81,61,75,78,79,12,22,12,10,10,86,22,12,6,6,6,6,6
Collins,Jalen,Falcons,CB,79,90,88,62,92,76,62,58,14,15,14,12,55,45,61,87,35,85,87,69,40,62,65,42,72,74,49,45,45,45,45,40,44,59,77,76,87,77,54,43,25,40,84,20,6,6,6,6,6
O'Donnell,Pat,Bears,P,79,82,86,59,75,66,34,44,49,45,91,85,20,10,24,78,10,85,87,65,15,29,35,25,40,55,20,21,21,10,10,10,10,24,60,25,13,22,20,15,10,55,10,15,30,30,25,20,20
Minter,Kevin,Bengals,MLB,78,78,85,77,81,84,52,60,25,25,20,20,45,45,83,81,10,85,92,83,45,25,48,49,55,39,83,45,45,45,45,54,67,73,84,84,67,78,40,35,15,78,60,15,6,6,6,6,6
Kirkpatrick,Dre,Bengals,CB,78,88,91,64,85,81,68,58,14,15,14,12,55,45,56,87,35,85,95,76,50,65,69,47,72,70,54,55,53,45,45,61,48,42,77,81,75,79,62,48,21,73,88,20,6,6,6,6,6
Kelley,Robert,Redskins,HB,78,86,89,74,86,80,67,89,25,25,15,14,59,56,48,75,62,85,92,89,85,75,85,76,73,82,62,47,45,52,48,25,25,34,41,16,20,29,57,53,52,42,19,50,20,19,16,10,17
Myers,Jason,Jaguars,K,78,69,71,43,47,60,30,34,45,45,96,84,20,20,20,40,10,85,80,50,15,22,19,16,23,14,15,15,15,15,15,10,10,10,28,15,10,25,12,10,10,12,10,12,35,30,25,20,20
Lewis,Marcedes,Jaguars,TE,77,74,82,81,73,85,76,76,40,40,39,37,63,78,35,77,35,85,86,86,65,44,72,64,68,75,64,74,70,68,73,20,20,45,59,13,12,13,70,79,71,25,25,76,15,10,6,6,10
Cruz,Victor,Bears,WR,77,88,88,60,89,81,86,69,25,24,21,22,62,31,16,90,74,85,92,57,55,84,88,44,80,84,41,42,35,20,21,10,10,45,35,25,11,30,86,81,79,20,35,75,15,10,6,6,10
Perkins,Paul,Giants,HB,77,89,89,65,90,78,65,86,31,28,21,20,43,52,33,84,62,85,86,80,66,79,83,72,81,86,45,44,43,49,47,11,12,26,38,20,14,19,59,63,59,21,16,58,30,25,15,10,10
Dial,Quinton,49ers,DT,76,62,74,87,65,82,34,39,36,19,20,20,45,45,81,66,10,85,71,69,25,10,19,25,25,20,85,45,45,45,45,78,60,78,77,82,22,34,15,17,15,78,24,25,6,6,6,6,6
Miller,John,Bills,RG,76,66,80,86,52,82,32,39,15,14,11,15,81,76,42,78,10,85,78,86,25,15,10,10,10,10,78,87,80,75,65,30,30,42,33,15,12,14,15,15,15,24,10,15,6,6,6,6,6
Siemian,Trevor,Broncos,QB,76,74,77,63,76,81,45,66,88,73,20,15,14,21,31,78,5,85,91,78,35,59,73,35,55,62,14,19,19,26,26,5,5,25,34,23,7,7,17,16,10,27,9,13,84,79,78,80,78
Ryan,Jake,Packers,MLB,76,85,88,76,73,78,60,60,25,24,28,29,45,45,85,84,10,85,85,79,55,31,35,38,20,35,80,45,45,45,45,62,50,78,83,78,60,72,15,15,10,82,48,20,6,6,6,6,6
Hooker,Malik,Colts,FS,76,88,91,76,88,68,75,68,26,25,20,19,28,23,72,91,48,85,92,77,46,63,72,47,60,69,59,44,43,44,43,34,38,60,81,68,69,81,66,57,26,79,61,22,15,10,10,15,15
Kamara,Alvin,Saints,HB,76,88,91,70,89,66,70,82,38,22,21,16,34,45,29,91,81,85,86,78,83,81,79,83,82,83,44,44,43,49,47,11,12,29,34,18,18,24,68,70,69,33,17,51,32,28,23,26,33
Henderson,Carlos,Broncos,WR,76,90,88,65,91,66,84,76,27,27,15,14,55,44,31,86,83,85,91,74,66,84,84,78,73,83,49,43,38,33,29,10,10,26,38,26,17,14,82,83,77,18,15,81,23,18,15,20,22
Ellerbe,Dannell,Saints,ROLB,75,81,85,65,82,81,58,55,33,40,20,21,45,45,78,74,10,85,91,90,45,10,19,27,45,45,81,45,45,45,45,56,64,67,81,81,68,75,30,25,15,85,55,30,6,6,6,6,6
Brown,Trent,49ers,RT,75,63,75,91,60,77,35,32,25,25,20,20,72,81,40,75,10,85,73,76,35,10,15,25,10,10,73,88,74,84,66,10,10,31,12,15,12,15,12,12,12,20,10,12,6,6,6,6,6
Wright,Shareece,Bills,CB,75,90,88,59,89,76,62,59,18,16,12,12,45,45,62,85,45,85,91,85,30,60,61,25,65,75,49,45,45,45,45,35,45,47,78,76,81,70,40,50,25,62,75,12,6,6,6,6,6
Oher,Michael,Panthers,RT,74,64,79,93,63,77,25,40,25,40,28,10,73,76,39,71,11,85,89,84,35,21,10,35,10,10,75,95,87,86,68,10,10,39,25,10,12,12,12,20,10,12,10,12,6,6,6,6,6
Nsekhe,Ty,Redskins,LT,74,74,81,84,63,77,40,25,24,24,25,25,80,77,38,73,10,85,77,74,25,20,15,15,22,20,74,76,73,74,72,15,15,15,21,10,12,15,15,15,10,15,10,20,6,6,6,6,6
Martin,Nick,Texans,C,74,65,79,85,59,74,26,36,27,22,25,25,81,79,33,76,10,85,89,84,27,12,10,29,10,10,78,95,98,84,89,10,10,20,30,15,12,15,15,15,15,47,10,15,6,6,6,6,6
Albert,Branden,Jaguars,LT,73,63,81,88,67,83,45,45,30,30,25,25,72,74,30,50,10,85,83,85,20,12,10,30,10,10,86,83,91,94,98,10,10,20,28,15,12,15,15,15,15,20,10,15,6,6,6,6,6
Keenum,Case,Vikings,QB,73,80,83,47,70,76,33,61,86,78,22,25,22,21,14,80,10,85,95,77,22,20,55,20,66,42,25,20,20,32,25,10,10,22,24,22,10,12,10,10,10,12,10,15,85,78,76,76,76
Allen,Jonathan,Redskins,LE,73,72,83,85,72,68,35,40,21,14,9,8,45,45,81,74,10,85,83,82,28,17,25,34,30,28,88,45,45,45,45,81,67,81,79,68,24,38,30,25,10,80,16,12,6,6,6,6,6
Webb,Davis,Giants,QB,73,79,85,62,78,65,27,58,93,92,14,17,24,16,25,80,10,85,95,74,51,45,58,34,36,48,23,10,10,11,11,10,10,23,33,24,13,26,12,10,10,17,12,12,83,76,74,78,77
Miller,Braxton,Texans,WR,73,91,92,68,94,63,82,66,83,68,23,22,53,44,39,88,72,85,91,79,46,88,84,43,91,88,41,24,24,26,26,11,11,22,47,21,16,24,82,78,71,15,16,76,77,71,68,70,79
Brown,Algernon,Seahawks,FB,73,84,89,78,81,48,63,78,25,25,20,20,70,66,72,80,10,85,86,88,87,60,69,84,64,68,74,45,45,45,45,62,57,67,66,39,48,53,55,62,53,78,34,57,6,6,6,6,6
Robinson,Keenan,Giants,MLB,72,84,87,77,85,77,57,65,20,19,27,23,45,45,82,88,10,85,91,76,51,35,31,35,19,38,71,45,45,45,45,45,58,67,77,77,70,77,25,20,15,72,55,25,6,6,6,6,6
Allen,Jeff,Texans,RG,72,65,78,87,66,70,45,40,30,30,25,25,70,83,33,73,10,85,79,74,15,10,10,15,10,10,82,81,87,75,79,10,10,15,23,10,12,12,12,10,10,12,10,12,6,6,6,6,6
Silatolu,Amini,Panthers,LG,72,60,77,87,62,69,32,40,28,19,21,29,79,78,22,82,10,85,84,95,23,11,10,10,10,10,76,84,90,85,74,10,10,19,14,19,21,12,12,10,10,12,10,12,6,6,6,6,6
Edwards,Lachlan,Jets,P,72,73,70,57,64,54,25,37,30,32,91,75,19,17,27,45,10,85,83,65,16,21,10,10,10,10,19,19,19,17,17,10,10,24,31,10,12,12,12,10,10,23,10,12,23,22,18,17,26
Jenkins,Jelani,Raiders,LOLB,71,84,88,73,85,75,65,64,25,25,20,20,45,45,79,86,10,85,93,84,45,44,39,48,45,54,79,45,45,45,45,68,60,67,78,75,48,58,39,45,15,86,50,25,6,6,6,6,6
Foles,Nick,Eagles,QB,71,70,75,70,64,71,25,63,90,75,25,25,22,11,25,79,10,85,90,77,29,20,28,39,30,33,30,40,30,30,20,10,10,25,30,15,15,20,12,10,10,12,10,12,83,77,74,77,75
Greene Sr,Rashad,Jaguars,WR,71,88,92,54,91,69,78,65,35,32,35,25,35,33,25,87,84,85,91,69,29,85,78,32,77,89,45,33,34,25,25,10,10,25,35,20,13,25,74,73,77,12,20,76,34,32,25,15,25
Wreh-Wilson,Blidi,Falcons,CB,71,88,92,57,91,67,60,65,30,32,32,31,45,45,57,89,55,85,91,69,35,57,65,30,66,72,45,45,45,45,45,45,50,56,71,67,73,76,54,51,20,57,80,35,6,6,6,6,6
Banner,Zach,Colts,RT,71,53,74,90,56,62,28,26,25,25,20,20,79,74,34,61,10,85,80,73,46,20,25,28,13,19,78,88,74,84,66,10,10,36,12,15,12,15,12,12,12,38,10,12,6,6,6,6,6
Garcia,Antonio,Patriots,LT,71,67,79,83,76,61,34,31,26,30,21,20,78,80,36,76,10,85,91,81,30,37,29,40,20,32,81,72,77,75,81,30,21,25,36,15,12,15,25,32,37,33,10,26,6,6,6,6,6
McGee,Stacy,Redskins,LE,70,67,75,86,62,79,30,40,26,26,25,25,45,45,78,74,6,85,79,72,20,12,15,15,10,10,85,45,45,45,45,79,56,78,80,79,20,30,15,15,15,76,10,15,6,6,6,6,6
Davis,Will,49ers,CB,70,88,90,60,93,67,69,64,21,22,15,11,45,45,42,90,72,85,91,66,35,75,81,40,74,83,51,45,45,45,45,35,43,42,66,67,81,68,54,50,39,46,65,34,6,6,6,6,6
Moore,Damontre,Cowboys,RE,70,73,84,70,78,66,38,52,29,19,14,15,45,45,76,87,10,85,66,71,35,25,45,33,44,30,81,45,45,45,45,79,67,81,83,66,44,50,22,20,10,70,45,30,6,6,6,6,6
Hunt,Margus,Colts,RE,70,84,86,85,76,64,60,55,70,60,45,40,45,45,73,84,10,85,79,88,75,30,48,65,45,50,74,45,45,45,45,74,60,79,78,64,45,58,45,46,15,77,35,15,45,40,35,6,10
Brooks,Ron,Eagles,CB,70,91,90,54,93,64,55,66,22,25,25,28,45,45,65,91,65,85,89,75,15,82,74,22,73,85,48,45,45,45,45,44,62,44,65,64,78,69,53,45,30,70,64,20,6,6,6,6,6
Valentine,Vincent,Patriots,DT,70,66,81,79,70,62,28,33,23,21,17,17,36,27,78,77,9,85,79,72,29,15,18,25,17,16,83,46,45,44,45,82,68,80,79,62,18,26,16,14,13,82,13,15,6,6,6,6,6
Pierre-Louis,Kevin,Seahawks,ROLB,70,87,88,80,87,60,63,60,25,25,20,20,45,45,82,90,10,85,93,65,54,44,52,35,50,62,73,45,45,45,45,72,66,66,78,60,61,73,45,40,15,67,40,25,6,6,6,6,6
Moreau,Fabian,Redskins,CB,70,94,93,71,90,59,64,59,25,21,15,16,45,45,64,90,40,85,93,77,29,63,68,37,68,72,46,45,45,45,45,31,38,54,76,59,71,78,56,58,28,67,81,22,6,6,6,6,6
Jones,Aaron,Packers,HB,70,89,93,71,92,54,67,83,30,30,21,20,25,44,20,89,55,85,86,73,84,63,75,87,64,84,47,48,47,49,47,10,10,23,35,18,15,20,59,63,67,24,20,54,35,30,20,15,15
Zombo,Frank,Chiefs,LOLB,69,78,86,68,75,73,59,50,18,29,22,29,45,45,78,72,10,85,88,91,49,35,22,28,10,56,75,45,45,45,45,74,51,73,82,73,50,61,15,15,15,67,50,20,6,6,6,6,6
Johnson,Steven,Steelers,MLB,69,81,87,66,72,72,52,55,25,25,20,20,45,45,82,88,10,85,87,84,40,20,35,35,15,20,77,45,45,45,45,64,49,71,83,72,61,74,15,15,15,74,45,12,6,6,6,6,6
Marshall,Jalin,Jets,WR,69,87,89,69,87,63,80,67,50,31,23,22,45,35,31,88,86,85,89,80,50,77,78,53,79,82,40,44,44,36,34,11,11,39,37,21,16,24,79,77,74,15,16,70,40,37,37,25,30
Kroft,Tyler,Bengals,TE,69,81,87,69,80,59,80,65,40,35,22,21,55,60,35,84,10,85,84,62,63,65,71,57,65,70,63,59,61,55,54,20,30,42,35,22,10,25,68,80,70,25,25,86,15,10,6,6,10
Ortiz,Ricky,Ravens,FB,69,76,84,78,75,50,73,67,25,25,20,20,72,64,72,81,10,85,88,88,76,55,63,72,55,63,75,45,45,45,45,74,64,68,73,46,40,53,60,65,58,79,32,54,6,6,6,6,6
Bostic,Jon,Colts,MLB,68,85,89,71,75,69,68,64,30,35,20,22,45,45,78,80,10,85,91,83,44,31,35,50,41,35,80,45,45,45,45,60,73,73,77,69,63,67,47,49,15,82,55,15,6,6,6,6,6
Reynolds II,Ed,Browns,FS,68,87,90,61,83,68,74,64,20,17,17,21,45,45,68,89,40,85,89,79,54,73,78,52,66,75,58,45,45,45,45,54,52,58,79,68,57,69,65,66,15,79,64,15,15,10,10,15,15
Norwood,Kevin,Giants,WR,68,89,90,50,93,64,79,68,19,19,24,25,39,21,21,83,63,85,91,69,52,68,69,49,74,73,46,45,46,41,40,10,10,35,44,10,12,12,77,85,73,15,15,64,15,10,6,6,10
Biegel,Vince,Packers,LOLB,68,83,87,77,79,62,52,48,20,19,14,17,45,45,79,81,10,85,86,76,42,29,36,44,32,39,74,45,45,45,45,62,77,76,74,62,66,67,46,50,22,77,38,20,6,6,6,6,6
Todman,Jordan,Jets,HB,68,89,90,60,91,60,63,77,30,40,11,21,35,48,25,82,81,85,87,70,61,81,81,50,80,87,40,40,42,28,44,10,10,25,39,12,13,12,66,64,38,20,20,49,35,30,20,15,15
Clemens,Kellen,Chargers,QB,67,71,71,58,66,72,35,65,84,76,30,12,24,29,36,83,13,85,92,75,20,20,54,35,50,54,24,24,24,29,29,20,20,36,43,28,14,12,15,15,15,12,10,15,81,76,76,66,75
Carter,Chris,Redskins,LOLB,67,84,88,64,75,69,41,65,19,20,15,15,45,45,76,68,10,85,82,88,30,29,10,10,10,10,75,45,45,45,45,58,81,73,74,69,56,59,20,15,10,64,45,15,6,6,6,6,6
Yates,T.J.,Bills,QB,67,68,73,55,66,67,15,51,87,75,22,15,10,10,25,60,10,85,95,90,25,20,46,22,45,45,10,10,10,10,10,10,10,16,35,21,10,19,15,15,15,12,10,15,83,74,72,74,76
Thompson,Brandon,Bengals,DT,67,64,80,91,58,64,25,40,29,35,26,18,45,45,78,78,12,85,66,86,24,11,10,10,10,10,84,45,45,45,45,78,48,76,73,64,12,24,12,10,10,78,10,12,6,6,6,6,6
Reilly,Trevor,Dolphins,LOLB,67,84,86,78,74,64,55,54,25,25,20,20,45,45,76,76,6,85,82,93,25,19,25,35,15,30,74,45,45,45,45,61,76,72,79,64,55,60,15,15,15,76,40,12,6,6,6,6,6
O'Shaughnessy,James,Patriots,TE,67,83,88,68,82,55,79,70,35,34,15,14,64,53,42,85,25,85,82,72,60,74,78,56,69,72,60,58,62,52,56,40,33,45,48,32,15,25,76,75,50,49,25,75,35,33,32,22,35
Grant,Jakeem,Dolphins,WR,67,96,95,62,91,51,80,69,35,31,23,22,42,37,20,87,84,85,87,77,25,83,83,34,76,86,42,44,44,36,34,11,11,19,39,21,16,24,69,70,78,15,16,57,28,26,21,15,23
Carter,Cethan,Bengals,TE,67,83,88,75,74,46,72,73,30,29,21,19,74,68,35,79,18,85,83,73,76,52,68,67,52,62,71,62,61,57,57,17,17,38,43,22,14,21,70,67,59,39,17,60,15,10,5,5,10
Looney,Joe,Cowboys,C,66,70,75,82,59,66,35,40,19,24,17,35,76,72,31,71,10,85,83,90,16,11,10,10,10,10,79,85,75,78,68,10,10,25,34,22,13,18,15,15,15,35,10,15,6,6,6,6,6
Heeney,Ben,Raiders,MLB,66,86,88,73,79,65,68,64,20,19,14,17,45,45,79,83,10,85,91,77,61,35,60,58,62,58,78,45,45,45,45,68,49,69,84,65,72,70,45,49,25,73,52,25,6,6,6,6,6
Mallett,Ryan,Ravens,QB,66,58,71,73,49,62,15,71,94,72,22,14,21,20,20,44,10,85,90,88,45,20,24,35,20,25,21,21,21,19,19,10,10,23,21,18,10,16,12,10,10,15,10,12,79,74,71,72,74
Ijalana,Ben,Jets,LT,66,64,80,86,67,61,35,40,10,10,13,6,74,73,45,67,10,85,80,89,10,17,10,10,10,10,77,83,75,89,85,10,10,40,39,25,18,12,12,10,10,24,10,12,6,6,6,6,6
Swoope,Erik,Colts,TE,66,80,85,65,87,59,75,68,25,25,15,19,56,67,40,88,11,85,75,74,69,64,56,63,74,78,60,55,60,55,60,10,10,52,35,21,10,24,82,69,60,12,10,74,15,10,6,6,10
Ringo,Christian,Packers,DT,66,73,82,80,68,58,29,40,25,25,20,20,45,45,73,78,10,85,75,66,32,12,21,41,15,10,78,45,45,45,45,82,66,71,75,58,15,20,15,15,15,77,15,15,6,6,6,6,6
Coley,Stacy,Vikings,WR,66,91,90,55,89,56,83,72,26,35,20,16,47,39,24,82,71,85,90,63,37,78,81,48,75,82,46,45,44,35,37,10,10,25,31,20,15,25,84,76,68,20,15,57,15,10,6,6,10
Carson,Chris,Seahawks,HB,66,86,89,78,78,52,61,84,26,19,21,20,36,57,30,92,62,85,85,73,85,73,78,79,75,73,51,44,43,49,47,11,12,26,28,18,14,19,50,55,57,36,16,39,20,18,15,12,14
Price,Jabari,Vikings,CB,65,90,90,65,87,55,49,64,17,17,15,22,45,45,55,78,44,85,90,71,24,70,66,22,73,69,45,45,45,45,45,36,35,56,74,55,73,79,45,43,20,48,65,15,6,6,6,6,6
Cannon,K.D.,Jets,WR,65,93,91,63,88,51,80,71,27,30,24,19,45,37,31,88,76,85,91,74,37,73,80,49,73,79,33,52,52,45,44,10,10,26,37,22,18,21,82,78,65,22,23,63,22,18,13,15,22
Williams,Jonathan,Bills,HB,64,86,89,67,88,57,57,73,26,19,21,20,28,59,31,86,62,85,87,80,79,70,79,79,66,81,33,44,43,49,47,11,12,26,28,20,14,19,42,50,52,21,16,30,20,18,15,12,14
Hamlett,Connor,Cowboys,TE,64,78,77,70,72,54,77,70,66,46,29,24,67,60,60,84,15,85,84,86,63,45,65,58,51,56,60,60,62,62,64,30,30,48,51,15,25,35,77,75,54,48,30,68,46,40,38,30,34
Cox Jr,Bryan,Panthers,LE,64,76,83,81,72,51,38,31,20,30,25,15,45,45,80,67,10,85,81,78,34,29,42,45,21,38,82,45,45,45,45,66,77,74,83,51,28,36,28,32,16,86,24,13,6,6,6,6,6
McCarron,Riley,Texans,WR,64,92,94,55,93,51,78,66,22,18,15,14,51,35,51,93,77,85,90,84,53,82,73,53,82,84,49,35,33,29,25,35,45,51,60,26,45,55,74,79,60,49,42,56,15,10,6,6,10
Seals-Jones,Ricky,Cardinals,TE,64,83,88,68,79,48,76,75,27,19,19,19,63,55,36,70,50,85,88,79,62,57,76,66,61,76,53,72,67,55,60,10,10,30,38,17,24,32,78,73,65,29,18,64,15,10,6,6,10
Valles,Hakeem,Cardinals,TE,63,83,87,71,72,51,71,60,20,20,15,15,73,64,48,80,15,85,88,78,65,45,55,58,58,60,60,62,60,57,54,10,10,58,35,51,19,18,64,62,60,20,10,64,15,10,6,6,10
Allen,Brandon,Jaguars,QB,63,78,82,56,61,51,26,59,88,71,21,20,21,17,24,60,13,85,88,75,29,33,52,31,28,54,21,20,19,19,18,9,9,21,28,21,12,18,20,20,18,11,9,19,78,74,70,76,78
Frazier,Mose,Panthers,WR,63,87,87,65,90,45,82,70,32,35,20,22,30,29,19,87,75,85,85,82,38,81,80,45,82,91,40,35,34,28,29,10,10,20,35,20,19,35,77,76,68,12,15,53,25,20,15,6,25
Traylor,Austin,Broncos,TE,63,75,82,73,75,42,72,70,32,30,21,21,72,63,44,80,10,85,85,85,70,45,66,69,58,60,69,64,60,60,55,20,20,37,40,25,12,14,65,68,60,15,10,65,15,10,6,6,10
